school_code,school,is_district_office,school_and_district
5419,Orchard Elementary,f,Orchard Elementary - Richland
5430,Quileute Tribal School,f,Quileute Tribal School - Quileute Tribal
5431,Bates Technical College - Open Doors,f,Bates Technical College - Open Doors - Bates TC
5432,EV Online,f,EV Online - East Valley (Spok
5433,EV Parent Partnership,f,EV Parent Partnership - East Valley (Spok
5434,NEWESD 101 Open Doors,f,NEWESD 101 Open Doors - ESD 101
5435,Open Doors Evergreen,f,Open Doors Evergreen - Evergreen (Clark)
5436,Early Learning Center,f,Early Learning Center - Franklin Pierce
5437,Gibson Ek High School,f,Gibson Ek High School - Issaquah
5438,Sage Crest Elementary,f,Sage Crest Elementary - Kennewick
5439,Chinook Middle School,f,Chinook Middle School - Kennewick
5441,Early Learning Center,f,Early Learning Center - Lake Stevens
5442,Outcomes for Academic Resilience,f,Outcomes for Academic Resilience - Lake Stevens
5443,Mabton Step Up To College,f,Mabton Step Up To College - Mabton
5444,Mary M. Knight School,f,Mary M. Knight School - Mary M Knight
5445,Washington Connections Academy,f,Washington Connections Academy - Mary M Knight
5446,Mary Walker Alternative Learning Experience,f,Mary Walker Alternative Learning Experience - Mary Walker
5447,Northwood Elementary School,f,Northwood Elementary School - Mercer Island
5448,Meridian Impact Re-Engagement,f,Meridian Impact Re-Engagement - Meridian
5449,Mount Vernon Open Doors,f,Mount Vernon Open Doors - Mt Vernon
5450,Lake Stickney Elementary School,f,Lake Stickney Elementary School - Mukilteo
5451,Naches Valley Elementary School,f,Naches Valley Elementary School - Naches Valley
5452,Salish Middle School,f,Salish Middle School - North Thurston
5453,Northshore Primary Center,f,Northshore Primary Center - Northshore
5454,Ocean Beach Alternative School,f,Ocean Beach Alternative School - Ocean Beach
5456,Connections Academy,f,Connections Academy - Sedro Woolley
5457,Timber Ridge Elementary School,f,Timber Ridge Elementary School - Snoqualmie Valley
5458,Industrial Design Engineering and Art,f,Industrial Design Engineering and Art - Tacoma
5459,Hoyt Early Learning Center,f,Hoyt Early Learning Center - Tacoma
5460,Walla Walla Open Doors,f,Walla Walla Open Doors - Walla Walla
5461,Wellpinit Fort Simcoe SEA,f,Wellpinit Fort Simcoe SEA - Wellpinit
5462,West Valley Early Learning Center,f,West Valley Early Learning Center - West Valley (Spok
5463,Early Learning Center,f,Early Learning Center - Centralia
5464,FERNDALE RE-ENGAGEMENT,f,FERNDALE RE-ENGAGEMENT - Ferndale
5465,Blaine Re-Engagement,f,Blaine Re-Engagement - Blaine
5466,IMPACT Reengagement Program,f,IMPACT Reengagement Program - Lynden
5467,ESA 112 Special Ed Co-Op,f,ESA 112 Special Ed Co-Op - ESA 112
5468,Rainier Valley Leadership Academy,f,Rainier Valley Leadership Academy - Rainier Valley Charter
5469,Summit Public School: Atlas,f,Summit Public School: Atlas - Summit Atlas Charter
5470,Innovation Charter School,f,Innovation Charter School  - Innovation Charter
5471,Bethel Elementary Learning Academy,f,Bethel Elementary Learning Academy - Bethel
5472,Barker Creek Community School,f,Barker Creek Community School - Central Kitsap
5473,TAFA at Saghalie,f,TAFA at Saghalie - Federal Way
5474,Parent Community Connection,f,Parent Community Connection - Ferndale
5477,Stevens Creek Elementary,f,Stevens Creek Elementary - Lake Stevens
5478,Marysville Getchell High School,f,Marysville Getchell High School - Marysville
5479,Birth - 2 Program,f,Birth - 2 Program - Lake Washington
5480,Pacific Crest Innovation Academy,f,Pacific Crest Innovation Academy - Mill A
5481,North Creek High School,f,North Creek High School - Northshore
5482,Pathfinder Kindergarten Center,f,Pathfinder Kindergarten Center - Mukilteo
5483,Pasco Early Learning Center,f,Pasco Early Learning Center - Pasco
5484,Risdon Middle School,f,Risdon Middle School - Renton
5485,Meany Middle School,f,Meany Middle School - Seattle
5486,Robert Eagle Staff Middle School,f,Robert Eagle Staff Middle School - Seattle
5487,Cedar Park Elementary School,f,Cedar Park Elementary School - Seattle
5488,Decatur Elementary School,f,Decatur Elementary School - Seattle
5489,Cedar River Elementary,f,Cedar River Elementary - Tahoma
5490,Tahoma Elementary,f,Tahoma Elementary - Tahoma
5491,JJ Smith Elementary,f,JJ Smith Elementary - Enumclaw
5493,Leona Libby Middle School,f,Leona Libby Middle School - Richland
5494,Columbia River Gorge Elementary School,f,Columbia River Gorge Elementary School - Washougal
5495,Arlington Open Doors,f,Arlington Open Doors - Arlington
5496,Wa He Lut Indian School,f,Wa He Lut Indian School - Wa He Lut Tribal
5497,Sage Hills Open Doors,f,Sage Hills Open Doors - Ephrata
5498,Mukilteo Reengagement Academy Open Doors,f,Mukilteo Reengagement Academy Open Doors - Mukilteo
5499,CRCC-Open Doors,f,CRCC-Open Doors - North Franklin
5501,Open Doors - Youth Reengagement Program,f,Open Doors - Youth Reengagement Program - ESD 189
5502,Daybreak Youth Services,f,Daybreak Youth Services - Battle Ground
5503,Student Success Open Doors Academy,f,Student Success Open Doors Academy - Lyle
5504,WEST VALLEY VIRTUAL ACADEMY K-6,f,WEST VALLEY VIRTUAL ACADEMY K-6 - West Valley (Yak)
5505,WEST VALLEY VIRTUAL ACADEMY 7-8,f,WEST VALLEY VIRTUAL ACADEMY 7-8 - West Valley (Yak)
5506,WEST VALLEY VIRTUAL ACADEMY 9-12,f,WEST VALLEY VIRTUAL ACADEMY 9-12 - West Valley (Yak)
5507,Liberty Creek Elementary School,f,Liberty Creek Elementary School - Central Valley
5508,Wilburton Elementary School,f,Wilburton Elementary School - Bellevue
5509,James W Lintott Elementary School,f,James W Lintott Elementary School - Chehalis
5510,Orin C Smith Elementary School,f,Orin C Smith Elementary School - Chehalis
5511,Clara Barton Elementary School,f,Clara Barton Elementary School - Lake Washington
5512,Ella Baker Elementary School,f,Ella Baker Elementary School - Lake Washington
5513,Mary E. Theler Early Learning Center,f,Mary E. Theler Early Learning Center - North Mason
5514,Grays Harbor Academy,f,Grays Harbor Academy - Aberdeen
5515,Hood Canal Middle School,f,Hood Canal Middle School - Hood Canal
5516,Kettle Falls Early Learning Center,f,Kettle Falls Early Learning Center - Kettle Falls
5517,Impact | Puget Sound Elementary,f,Impact | Puget Sound Elementary - Impact Puget Sound Charter
5518,Sunset Ridge Intermediate School,f,Sunset Ridge Intermediate School - Ridgefield
5519,Sartori Elementary School,f,Sartori Elementary School - Renton
5520,Amon Creek Elementary,f,Amon Creek Elementary - Kennewick
5521,Fuerza Elementary,f,Fuerza Elementary - Kennewick
5522,Auburn Opportunity Project,f,Auburn Opportunity Project - Auburn
5523,Chewelah Open Doors Reengagement Program,f,Chewelah Open Doors Reengagement Program - Chewelah
5524,Tehaleh Heights Elementary,f,Tehaleh Heights Elementary - Sumner
5525,Open Doors,f,Open Doors - Burlington Edison
5526,Richland School District Early Learning Center,f,Richland School District Early Learning Center - Richland
5527,Steilacoom PRIDE Academy,f,Steilacoom PRIDE Academy - Steilacoom Hist.
5528,Early Childhood Center,f,Early Childhood Center - Othello
5529,Insight School of WA Open Doors Program,f,Insight School of WA Open Doors Program - Quillayute Valley
5530,Ferry County Open Doors,f,Ferry County Open Doors - Curlew
5531,Eatonville Online Academy,f,Eatonville Online Academy - Eatonville
5532,Camas School District Open Doors,f,Camas School District Open Doors - Camas
5533,Discovery High School,f,Discovery High School - Camas
5534,Odyssey Middle School,f,Odyssey Middle School - Camas
5535,Cascadia Technical Academy ALE,f,Cascadia Technical Academy ALE - Evergreen (Clark)
5536,Tukwila Online Learning,f,Tukwila Online Learning - Tukwila
5537,Prosser Opportunity Academy,f,Prosser Opportunity Academy - Prosser
5538,Home Pride,f,Home Pride - Cusick
5539,Kalispel Language Immersion School,f,Kalispel Language Immersion School - Cusick
5540,West Valley Open Doors,f,West Valley Open Doors - West Valley (Yak)
5541,Riverbend Elementary School,f,Riverbend Elementary School - Central Valley
5542,STEM Academy at SVT,f,STEM Academy at SVT - Central Valley
5543,Simcoe Elementary School,f,Simcoe Elementary School - Wapato
5544,Camas Elementary,f,Camas Elementary - Wapato
5547,Kelso Goal Oriented Learning Design,f,Kelso Goal Oriented Learning Design - Kelso
5548,Shelton Open Doors,f,Shelton Open Doors - Shelton
5549,Chief Leschi Schools,f,Chief Leschi Schools - Chief Leschi Tribal
5550,Yakama Nation School,f,Yakama Nation School - Yakama Nation Tribal
5551,Glacier Middle School,f,Glacier Middle School - Highline
5552,Selkirk Middle School,f,Selkirk Middle School - Central Valley
5553,Sage Hills ECEAP,f,Sage Hills ECEAP - Ephrata
5554,Nooksack Reengagement,f,Nooksack Reengagement - Nooksack Valley
5555,Orcas Island Montessori Public,f,Orcas Island Montessori Public - Orcas
5556,Three Rivers Elementary,f,Three Rivers Elementary - Pasco
5557,Dessie F Evans Elementary,f,Dessie F Evans Elementary  - Puyallup
5558,Ridgefield Early Learning Center,f,Ridgefield Early Learning Center - Ridgefield
5559,Griffin Bay School Open Doors,f,Griffin Bay School Open Doors - San Juan
5560,Selah Academy Auxiliary,f,Selah Academy Auxiliary - Selah
5561,Selah Academy BPL,f,Selah Academy BPL - Selah
5563,Tahoma Open Doors,f,Tahoma Open Doors - Tahoma
5564,White River Early Learning Center,f,White River Early Learning Center - White River
5565,Magnolia Elementary,f,Magnolia Elementary - Seattle
5566,Lincoln High School,f,Lincoln High School - Seattle
5567,ECEAP,f,ECEAP - Walla Walla
5568,Willard Early Learning Center,f,Willard Early Learning Center - Tacoma
5569,Valley Academy of Learning K-8,f,Valley Academy of Learning K-8 - Wenatchee
5570,Tambark Creek Elementary School,f,Tambark Creek Elementary School - Everett
5571,Highland Middle School,f,Highland Middle School - Mead
5572,Creekside Elementary School,f,Creekside Elementary School - Mead
5573,The Heights Learning Center,f,The Heights Learning Center - Camas
5574,Kamiak Elementary,f,Kamiak Elementary - Pullman
5575,College Place Open Doors Program,f,College Place Open Doors Program - College Place
5576,Highland ESD 105 Open Doors,f,Highland ESD 105 Open Doors - Highland
5577,Issaquah Preschool,f,Issaquah Preschool - Issaquah
5578,ESD 105 Open Doors,f,ESD 105 Open Doors - ESD 105
5579,Ferndale Virtual Academy,f,Ferndale Virtual Academy - Ferndale
5580,Naches Valley ESD 105 Open Doors,f,Naches Valley ESD 105 Open Doors - Naches Valley
5581,Open Doors for SHS - Stevenson,f,Open Doors for SHS - Stevenson-Carson
5582,Fife Open Doors,f,Fife Open Doors - Fife
5583,Northshore Family Partnership,f,Northshore Family Partnership - Northshore
5584,Oakville Homelink,f,Oakville Homelink - Oakville
5585,Ancient Lakes Elementary,f,Ancient Lakes Elementary - Quincy
5586,Tonasket Choice High School,f,Tonasket Choice High School - Tonasket
5587,Tonasket Outreach School,f,Tonasket Outreach School - Tonasket
5588,Open Doors,f,Open Doors - Anacortes
5589,Harriet Rowley Elementary,f,Harriet Rowley Elementary - Mt Vernon
5590,Ella Baker High School (Open Doors),f,Ella Baker High School (Open Doors) - Renton TC
5591,Renton Technical High School,f,Renton Technical High School - Renton TC
5592,North City,f,North City - Shoreline
5593,Edwin Pratt Learning Center,f,Edwin Pratt Learning Center - Shoreline
5594,Oakville Preschool,f,Oakville Preschool - Oakville
5595,Wapato ESD 105 Open Doors,f,Wapato ESD 105 Open Doors - Wapato
5596,Soar to Success,f,Soar to Success - Pasco
5597,Timberline Middle School,f,Timberline Middle School - Lake Washington
5598,Old Redmond Schoolhouse,f,Old Redmond Schoolhouse - Lake Washington
5599,Columbia Elementary,f,Columbia Elementary - Woodland
5600,North Fork Elementary School,f,North Fork Elementary School - Woodland
5602,Ashe Preparatory Academy,f,Ashe Preparatory Academy - Ashe Prep Charter
5603,Lincoln County Tech,f,Lincoln County Tech - Davenport
5604,Colville Fish Hatchery,f,Colville Fish Hatchery - Colville
5605,Ruby Bridges Elementary,f,Ruby Bridges Elementary - Northshore
5606,Innovation Lab High School,f,Innovation Lab High School - Northshore
5607,Catalyst Public Schools,f,Catalyst Public Schools - Catalyst Charter
5608,Impact | Salish Sea Elementary,f,Impact | Salish Sea Elementary - Impact Salish Sea Charter
5609,Lumen High School,f,Lumen High School - Lumen Charter
5610,Bowman Creek Elementary,f,Bowman Creek Elementary - Auburn
5611,Seaview Academy,f,Seaview Academy - Port Angeles
5612,Emerald Elementary School,f,Emerald Elementary School - Evergreen (Clark)
5613,Dungeness Virtual School,f,Dungeness Virtual School - Sequim
5614,Longview Virtual Academy,f,Longview Virtual Academy - Longview
5615,Washougal Learning Academy,f,Washougal Learning Academy - Washougal
5616,Walla Walla Center for Children and Families,f,Walla Walla Center for Children and Families - Walla Walla
5617,Dayton School District Alternative Program,f,Dayton School District Alternative Program - Dayton
5618,Washington Connections Academy Goldendale,f,Washington Connections Academy Goldendale - Goldendale
5619,Dropout Prevention and Reengagement Academy,f,Dropout Prevention and Reengagement Academy - ESD 121
5620,West Valley Virtual University,f,West Valley Virtual University - West Valley (Yak)
5621,Cedar High School,f,Cedar High School - Shelton
5622,Highline Public Schools Virtual Academy,f,Highline Public Schools Virtual Academy - Highline
5623,Columbia River Elementary,f,Columbia River Elementary - Pasco
5624,Ray Reynolds Middle School,f,Ray Reynolds Middle School - Pasco
5625,Aspire Academy,f,Aspire Academy - Mt Vernon
5626,Oak Harbor Virtual Academy,f,Oak Harbor Virtual Academy - Oak Harbor
5627,Bryant Montessori Middle School,f,Bryant Montessori Middle School - Tacoma
5629,Tumwater Virtual Academy,f,Tumwater Virtual Academy - Tumwater
5630,West Central Community Center,f,West Central Community Center - Spokane
5631,Pioneer Elementary School,f,Pioneer Elementary School - Peninsula
5632,Peninsula Alternative Programs,f,Peninsula Alternative Programs - Peninsula
5633,Bethel Virtual Academy,f,Bethel Virtual Academy - Bethel
5634,Open Door Re-Engagement,f,Open Door Re-Engagement - Othello
5635,Katherine G. Johnson Elementary School,f,Katherine G. Johnson Elementary School - Bethel
5636,Walla Walla Online,f,Walla Walla Online - Walla Walla
5637,Wenatchee Internet Academy,f,Wenatchee Internet Academy - Wenatchee
5638,Renton Online School,f,Renton Online School - Renton
5639,Pateros Alternative School,f,Pateros Alternative School - Pateros
5640,Kodiak Virtual Academy,f,Kodiak Virtual Academy - Cascade
5642,Sultan Virtual Academy,f,Sultan Virtual Academy - Sultan
5643,Lincoln County Virtual Academy,f,Lincoln County Virtual Academy - Davenport
5644,Clarkston Home Alliance,f,Clarkston Home Alliance - Clarkston
5645,Spokane Valley High School,f,Spokane Valley High School - West Valley (Spok
5646,North Kitsap Options,f,North Kitsap Options - North Kitsap
5647,Ocean Beach Alternative School,f,Ocean Beach Alternative School - Ocean Beach
5648,Quincy Innovation Academy,f,Quincy Innovation Academy - Quincy
5649,Cascade Parent Partnership Program,f,Cascade Parent Partnership Program - Seattle
5650,Quincy Innovation Academy Big Picture,f,Quincy Innovation Academy Big Picture - Quincy
5651,North Mason Online,f,North Mason Online   - North Mason
5652,Moses Lake Early Learning Center,f,Moses Lake Early Learning Center - Moses Lake
5653,North Franklin Virtual Academy,f,North Franklin Virtual Academy - North Franklin
5654,Envision Career Academy,f,Envision Career Academy - North Thurston
5655,North Bell Learning Center,f,North Bell Learning Center - Ferndale
5656,Orting Elementary Online Academy,f,Orting Elementary Online Academy - Orting
5657,Orting Secondary Online Academy,f,Orting Secondary Online Academy - Orting
5658,Skyline Elementary,f,Skyline Elementary - Mead
5659,Pullman Community Montessori,f,Pullman Community Montessori - Pullman Comm Monte Charter
5660,Ridgeline High School,f,Ridgeline High School - Central Valley
5661,Impact Public Schools,f,Impact Public Schools - Impact Commencement Bay Charter
5662,Cascade Public Schools,f,Cascade Public Schools - Why Not You Charter
5663,Harbor Open Doors,f,Harbor Open Doors - Aberdeen
5664,Auburn Online,f,Auburn Online - Auburn
5665,Pre-Primary School,f,Pre-Primary School - Bethel
5666,Rocket Virtual Academy,f,Rocket Virtual Academy - Castle Rock
5667,Central Valley Virtual Learning,f,Central Valley Virtual Learning - Central Valley
